partida_id,rodata,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,id_clube
76,7,0,0,,0,,0,0,0,0,0,32
77,7,0,0,,0,,0,0,0,0,0,2
77,7,0,0,,0,,0,0,0,0,0,31
78,7,0,0,,0,,0,0,0,0,0,1
78,7,0,0,,0,,0,0,0,0,0,23
79,7,0,0,,0,,0,0,0,0,0,10
79,7,0,0,,0,,0,0,0,0,0,16
80,7,0,0,,0,,0,0,0,0,0,44
80,7,0,0,,0,,0,0,0,0,0,35
81,7,0,0,,0,,0,0,0,0,0,25
81,7,0,0,,0,,0,0,0,0,0,40
82,7,0,0,,0,,0,0,0,0,0,11
82,7,0,0,,0,,0,0,0,0,0,39
83,7,0,0,,0,,0,0,0,0,0,28
83,7,0,0,,0,,0,0,0,0,0,14
84,7,0,0,,0,,0,0,0,0,0,12
84,7,0,0,,0,,0,0,0,0,0,9
85,8,0,0,,0,,0,0,0,0,0,41
85,8,0,0,,0,,0,0,0,0,0,16
86,8,0,0,,0,,0,0,0,0,0,30
86,8,0,0,,0,,0,0,0,0,0,28
87,8,0,0,,0,,0,0,0,0,0,44
87,8,0,0,,0,,0,0,0,0,0,39
88,8,0,0,,0,,0,0,0,0,0,8
88,8,0,0,,0,,0,0,0,0,0,14
89,8,0,0,,0,,0,0,0,0,0,37
89,8,0,0,,0,,0,0,0,0,0,12
90,8,0,0,,0,,0,0,0,0,0,9
90,8,0,0,,0,,0,0,0,0,0,23
91,8,0,0,,0,,0,0,0,0,0,35
91,8,0,0,,0,,0,0,0,0,0,2
92,8,0,0,,0,,0,0,0,0,0,32
92,8,0,0,,0,,0,0,0,0,0,21
93,8,0,0,,0,,0,0,0,0,0,40
93,8,0,0,,0,,0,0,0,0,0,10
94,8,0,0,,0,,0,0,0,0,0,15
94,8,0,0,,0,,0,0,0,0,0,25
95,8,0,0,,0,,0,0,0,0,0,31
95,8,0,0,,0,,0,0,0,0,0,1
96,8,0,0,,0,,0,0,0,0,0,6
96,8,0,0,,0,,0,0,0,0,0,11
97,9,0,0,,0,,0,0,0,0,0,31
97,9,0,0,,0,,0,0,0,0,0,9
98,9,0,0,,0,,0,0,0,0,0,1
98,9,0,0,,0,,0,0,0,0,0,35
99,9,0,0,,0,,0,0,0,0,0,28
99,9,0,0,,0,,0,0,0,0,0,25
100,9,0,0,,0,,0,0,0,0,0,23
100,9,0,0,,0,,0,0,0,0,0,37
101,9,0,0,,0,,0,0,0,0,0,10
101,9,0,0,,0,,0,0,0,0,0,15
102,9,0,0,,0,,0,0,0,0,0,11
102,9,0,0,,0,,0,0,0,0,0,12
103,9,0,0,,0,,0,0,0,0,0,8
103,9,0,0,,0,,0,0,0,0,0,30
104,9,0,0,,0,,0,0,0,0,0,32
104,9,0,0,,0,,0,0,0,0,0,16
105,9,0,0,,0,,0,0,0,0,0,44
105,9,0,0,,0,,0,0,0,0,0,6
