ID,rodata,data,hora,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,id_mandante,id_visitante
6098,36,2017-11-19,17:00,4-3-3,4-2-3-1,V. Carmo Mancini,L. Venker de Menezes,-, Barradão,1,1,BA,MG,0.0,21,30
6100,36,2017-11-19,17:01,4-5-1,4-2-3-1,D. Silvestre Júnior,J. Ribeiro Ventura,-,Estádio Municipal Paulo Machado de Carvalho,0,0,SP,RJ,0.0,2,7
6096,36,2017-11-19,17:02,4-2-3-1,4-2-3-1,D. Pollo Barioni,P. Carpegiani,Sport,Adelmar da Costa Carvalho,1,0,PE,BA,0.0,18,37
6102,36,2017-11-19,19:00,4-2-3-1,4-2-3-1,O. de Oliveira Filho,M. de Oliveira Santos,Atletico-MG,Estádio Raimundo Sampaio,3,0,MG,PR,0.0,35,11
6103,36,2017-11-19,19:00,4-2-3-1,4-2-3-1,Elano,C. Bueno,Santos,Estádio Urbano Caldeira,1,0,SP,RS,0.0,28,6
6101,36,2017-11-19,19:01,4-2-3-1,4-2-3-1,F. Soares Pessoa,J. Mannarino,Athletico-PR,Estádio Joaquim Américo Guimarães,3,1,PR,RJ,0.0,15,12
6104,36,2017-11-20,17:00,4-2-3-1,4-1-4-1,A. da Silva Braga,E. Baptista,Fluminense, Maracanã,2,0,RJ,SP,0.0,9,44
6105,36,2017-11-20,20:02,4-2-3-1,4-3-3,C. dos Santos Oliveira,A. Valentim do Carmo Neto,Avai,  Ressacada,2,1,SC,SP,0.0,33,38
6106,37,2017-11-25,17:00,4-2-3-1,4-2-3-1,A. da Silva Braga,D. Pollo Barioni,Sport, Maracanã,1,2,RJ,PE,0.0,9,18
6111,37,2017-11-26,17:00,4-2-3-1,4-2-3-1,L. Venker de Menezes,J. Mannarino,Vasco, Mineirão,0,1,MG,RJ,0.0,30,12
6112,37,2017-11-26,17:00,4-2-3-1,4-2-3-1,Renato Gaúcho,J. P. Sanches,-,Arena do Grêmio,1,1,RS,GO,0.0,6,17
6107,37,2017-11-26,17:01,4-2-4-0,4-2-3-1,C. dos Santos Oliveira,F. Soares Pessoa,Avai,  Ressacada,1,0,SC,PR,0.0,33,15
6109,37,2017-11-26,17:01,4-3-3,4-2-3-1,E. Baptista,V. Carmo Mancini,Vitoria, Moisés Lucarelli,2,3,SP,BA,0.0,44,21
6110,37,2017-11-26,17:01,4-2-3-1,4-3-3,M. de Oliveira Santos,D. Silvestre Júnior,Sao Paulo, Couto Pereira,1,2,PR,SP,0.0,11,2
6108,37,2017-11-26,17:02,4-2-3-1,4-2-3-1,F. Carille,O. de Oliveira Filho,-,Neo Química Arena,2,2,SP,MG,0.0,8,35
6113,37,2017-11-26,19:00,4-2-3-1,4-2-3-1,R. Rueda Rivera,Elano,Santos,Luso-Brasileiro,1,2,RJ,SP,0.0,41,28
6114,37,2017-11-26,19:05,4-2-3-1,4-2-3-1,P. Carpegiani,G. Kleina,Chapecoense,Itaipava Arena Fonte Nova,0,1,BA,SC,0.0,37,20
6115,37,2017-11-27,20:03,4-2-3-1,4-2-3-1,A. Valentim do Carmo Neto,J. Ribeiro Ventura,Palmeiras,Allianz Parque,2,0,SP,RJ,0.0,38,7
6119,38,2017-12-03,17:04,4-2-3-1,4-2-3-1,D. Pollo Barioni,F. Carille,Sport,Adelmar da Costa Carvalho,1,0,PE,SP,0.0,18,8
6116,38,2017-12-03,17:05,4-2-3-1,4-2-3-1,O. de Oliveira Filho,C. Bueno,Atletico-MG,Estádio Raimundo Sampaio,4,3,MG,RS,0.0,35,6
6117,38,2017-12-03,17:05,4-1-4-1,4-2-3-1,J. Ribeiro Ventura,L. Venker de Menezes,-,Estádio Nilton Santos,2,2,RJ,MG,0.0,7,30
6118,38,2017-12-03,17:05,4-2-3-1,4-2-4-0,Elano,C. dos Santos Oliveira,-,Estádio Urbano Caldeira,1,1,SP,SC,0.0,28,33
6120,38,2017-12-03,17:05,4-4-2,4-2-3-1,V. Carmo Mancini,R. Rueda Rivera,Flamengo, Barradão,1,2,BA,RJ,0.0,21,41
6121,38,2017-12-03,17:05,4-2-3-1,4-1-4-1,J. P. Sanches,A. da Silva Braga,-,Estádio Olímpico Pedro Ludovico Teixeira,1,1,GO,RJ,0.0,17,9
6122,38,2017-12-03,17:05,4-2-3-1,4-2-3-1,D. Silvestre Júnior,P. Carpegiani,-, Morumbi,1,1,SP,BA,0.0,2,37
6123,38,2017-12-03,17:05,4-1-4-1,4-2-3-1,G. Kleina,M. de Oliveira Santos,Chapecoense,Arena Condá,2,1,SC,PR,0.0,20,11
6124,38,2017-12-03,17:05,4-2-3-1,4-2-3-1,J. Mannarino,E. Baptista,Vasco,Estádio Vasco da Gama,2,1,RJ,SP,0.0,12,44
6125,38,2017-12-03,17:05,4-2-3-1,4-3-3,F. Soares Pessoa,A. Valentim do Carmo Neto,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,SP,0.0,15,38
6126,1,2018-04-14,16:00,4-2-3-1,4-2-3-1,L. Venker de Menezes,Renato Gaúcho,Gremio, Mineirão,0,1,MG,RS,0.0,30,6
6127,1,2018-04-14,19:02,4-2-3-1,4-1-4-1,V. Carmo Mancini,M. Nogueira Barbieri,-, Barradão,2,2,BA,RJ,0.0,21,41
6128,1,2018-04-14,21:03,4-3-3,4-1-4-1,J. Ribeiro Ventura,M. Oliveira Chamusca,Santos,Estádio Municipal Paulo Machado de Carvalho,2,0,SP,CE,0.0,28,27
6129,1,2018-04-15,11:00,4-1-4-1,4-3-2-1,E. Alves Moreira,N. Baptista Júnior,America-MG,Estádio Raimundo Sampaio,3,0,MG,PE,0.0,46,18
